datetime,content,quote,replies,reposts,likes,views
01/05/2024 19:03,"Congrats to the Swift Student Challenge winners and the 50 brand new Distinguished Winners! From helping with speech accessibility to an all-in-one assistant for elderly people, these app projects show how young people are putting their mark on the world.",0,860,2000,7500,3600000
02/05/2024 04:03,"Asian Pacific American Heritage Month reminds us to reflect, honor, and celebrate the immense contributions Asian American, Native Hawaiian, and Pacific Islander communities have given — and continue to give — to our society.",0,232,256,2100,455000
06/05/2024 19:10,The work of a great teacher lasts a lifetime. Thank you to educators everywhere for your dedication and generosity.,0,218,680,4600,582000
07/05/2024 14:30,Take note! I’m so excited for you to join us for today's #AppleEvent at 7am PT. Tune in here:,0,384,1400,9000,1000000
07/05/2024 16:17,"Meet the new iPad Pro: the thinnest product we’ve ever created, the most advanced display we’ve ever produced, with the incredible power of the M4 chip. Just imagine all the things it’ll be used to create.",0,19000,34000,31000,61000000
08/05/2024 00:35,Our hearts go out to those affected by the devastating and tragic floods in Brazil. Apple will be donating to relief efforts on the ground.,0,940,3200,26000,2300000
12/05/2024 16:00,"Wishing all the incredible mothers at Apple and around the world a happy Mother’s Day! We are all better off because of your love, guidance, and compassion. 💐",0,348,697,7900,733000
16/05/2024 19:39,"For nearly 40 years, Apple has worked to make technology more accessible to everyone. We’re thrilled to announce powerful new features that provide users with even more ways to communicate, control their devices, and enjoy the music they love. #GAAD",0,459,815,5200,439000
22/05/2024 15:39,An incredible story and an important advocate. Thank you for sharing your journey so that others may benefit.,1,168,230,1600,418000
25/05/2024 00:12,Apple Vision Pro was made possible by years of breakthroughs from our design and engineering teams. The result is so profound that people are often emotional the first time they try it. I’ve seen it firsthand. Congratulations to the Apple Design Team for winning this rare award.,1,381,708,5700,777000
27/05/2024 15:48,"We owe an enormous debt of gratitude to all those who made the ultimate sacrifice on behalf of our nation. On this Memorial Day, let us remember their heroism and the cause for which they fell.",0,271,448,4200,420000
31/05/2024 17:27,"An honor to welcome Blair Casey and Phil Green of TeamGleason to Apple Park. Thank you for your collaboration over the years, your tireless advocacy, and your commitment to supporting the ALS community through accessible technology. #ALSAwarenessMonth",0,192,332,2700,379000
10/06/2024 00:04,Kicking off #WWDC24 in the best way possible—meeting with student developers who won our Swift Student Challenge. It’s amazing to see their creativity and determination on full display!,0,232,641,6400,534000
10/06/2024 14:30,Can’t wait for you to join us at #WWDC24 this morning!,0,993,3500,35000,1800000
10/06/2024 20:37,"It’s personal, powerful, and private—and it’s integrated into the apps you rely on every day.

Introducing Apple Intelligence—our next chapter in AI.",0,1700,2400,14000,1900000
10/06/2024 22:37,We're excited to bring Apple Vision Pro to more customers around the world so that they can experience the magic of spatial computing!,0,517,592,4600,525000
13/06/2024 19:52,Thank you to all of the developers from around the world who joined us in person and virtually for an incredible #WWDC24! Can’t wait to see what amazing apps you create.,0,361,749,6500,364000
16/06/2024 16:17,Wishing a happy Father’s Day to dads everywhere!,0,460,715,10000,1000000
19/06/2024 15:00,"On this Juneteenth, let’s reaffirm our commitment to fairness and equity.",0,1200,640,5100,1100000
22/06/2024 14:32,"We’re excited to open our first store in Malaysia, Apple The Exchange TRX!",0,655,3100,16000,2900000
28/06/2024 18:42,"We’re thrilled to see our customers in mainland China, Hong Kong, Japan, and Singapore experience Apple Vision Pro for the first time! Pre-orders start today in Australia, Canada, France, Germany, & the UK. We can’t wait for customers there to see the magic of spatial computing.",0,335,649,5200,340000
01/07/2024 01:50,Happy Pride!,0,887,1200,14000,2300000
02/07/2024 20:58,Congratulations! We can’t wait to see what you create.,1,225,277,2400,481000
04/07/2024 15:00,Happy Fourth of July! 🇺🇸,0,562,677,8300,547000
14/07/2024 02:03,"I pray for President Trump’s rapid recovery.  My thoughts are with him, the other victims and the Trump family. I strongly condemn this violence.",0,1700,5000,75000,3500000
31/07/2024 01:24,"Apple Intelligence is going to unlock a world of new possibilities for our users, and it’s thrilling to see our developers begin to build with it. We’re excited to see the amazing things they create.",0,911,1100,12000,599000
