datetime,content,quote,replies,reposts,likes,views
01/05/2024 05:20,"Thrilled to be in Thailand today, where we’re announcing our plans to establish our first datacenter region in the country, as we expand our commitment to help accelerate the country’s digital-first, AI-powered future.",0,65,611,1600,214000
01/05/2024 17:55,"We’re committed to building and deploying AI responsibly and helping others do the same, which is why we’re sharing details about our approach in this inaugural report.",1,44,115,796,164000
02/05/2024 05:42,"It’s great to be back in Malaysia, where we’re announcing our biggest investment in the country to date to help support its AI transformation and create new skilling opportunities for people across the country.",0,132,864,2800,267000
08/05/2024 15:09,"AI is democratizing expertise across the workforce, and today we're sharing our latest research on the opportunity for every organization to apply this technology to drive better business outcomes.",0,123,401,1500,230000
08/05/2024 23:41,"We're focused on democratizing AI to help create new economic growth and opportunity around the world—including here in the US. That's why today we're excited to announce a $3.3 billion investment in Wisconsin, spanning cloud and AI infrastructure, skilling, and a",1,150,164,990,228000
13/05/2024 17:56,Today we announced expanded investments in France that will help drive AI innovation and create new economic opportunity across the country.,1,88,199,1400,192000
20/05/2024 19:06,"Introducing Copilot+ PCs—the fastest, most AI-ready Windows PCs ever built.",0,174,839,3000,311000
21/05/2024 15:58,"Looking forward to #MSBuild today, where we'll share how we're creating new opportunity for developers across every layer of the Copilot stack. Please join us.",0,36,244,973,129000
21/05/2024 18:27,"Congratulations to this year's Imagine Cup winners, team From Your Eyes of Turkey, who built an AI-powered accessibility solution, and to everyone who participated this year. Excited for all that you'll continue to build!",1,30,103,698,185000
21/05/2024 20:06,"The rate of diffusion in this new era of AI is unlike anything I've experienced, and the pace is only increasing. I enjoyed these stories of how developers have used our platforms and tools to have incredible impact.",0,42,113,481,57000
22/05/2024 00:02,"Rest in peace, Gordon Bell. Thank you for all of your impact at Microsoft and our industry. You will be missed. Thanks to you, I am always looking out for people from NOD.",0,30,86,783,104000
22/05/2024 00:49,"With Microsoft Copilot, Copilot stack, and Copilot+ PCs, we're creating new opportunity for developers at a time when AI is transforming every layer of the tech stack. Here are highlights from my keynote this morning at #MSBuild.",0,591,494,2000,718000
31/05/2024 18:53,"Here are just a few awesome examples of how AI is already transforming accessibility, as we partner broadly with developers, customers, and the disability community to use our platforms and tools to help create a more inclusive future for all.",1,46,104,595,153000
03/06/2024 21:27,We’re investing to support Sweden’s AI transformation and ensure it drives broad economic growth and innovation across the country.,1,27,80,548,150000
09/06/2024 23:13,"Today was our first Xbox Games Showcase featuring Activision, Blizzard, Bethesda, and Xbox Game Studios, alongside our amazing partners—a remarkable moment as we bring more games and ways to play to people around the world.",1,393,567,6600,556000
17/06/2024 17:58,"What a great example of how this next generation of AI is already creating new economic opportunity everywhere, including in rural communities like Inishbofin.",1,62,96,683,122000
18/06/2024 14:13,"Today marks the beginning of a new era for Windows, with the launch of Copilot+ PCs. We can't wait to see how these new AI-powered devices empower people to be more productive and creative.",1,208,430,2200,323000
18/06/2024 18:09,"We’re applying next-generation AI to the language of nature, helping scientists at companies like Unilever accelerate scientific discovery.",1,81,52,497,214000
26/06/2024 20:52,"Congratulations to our Partner of the Year Award winners! Thank you for everything you are doing to ensure the benefits of this next generation of AI reach every country, company, and individual.",1,81,52,497,214000
29/06/2024 19:11,"What a final!!! Congrats, India, and well played, South Africa. Super World Cup... let us have more cricket in the West Indies and USA!!",0,731,11000,136000,2000000
14/07/2024 02:22,There is simply no place for any type of violence in our society. Sending my best wishes to President Trump for a speedy recovery and to all those impacted by today’s horrific event.,0,314,1100,16000,729000
19/07/2024 16:59,"Yesterday, CrowdStrike released an update that began impacting IT systems globally. We are aware of this issue and are working closely with CrowdStrike and across the industry to provide customers technical guidance and support to safely bring their systems back online.",0,2100,6500,55000,5500000
24/07/2024 17:51,"Together with MassGenBrigham, uwsmph, and UWHealth, we're exploring how multimodal AI foundation models can accelerate solving some of the biggest challenges in radiology.",1,49,82,388,68000
25/07/2024 20:11,"We're committed to offering the best and most diverse selection of models to meet customers' unique cost, latency, and design needs. This past week alone, we've brought the latest from OpenAI, Meta, and others to Azure AI, along with updates to our own Phi-3 family of small language models.",1,54,130,886,138000
